[04/Jul/2023:09:19:24 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/api/doc" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[04/Jul/2023:09:19:24 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/favicon.ico" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://coffeekraken.localhost/api/doc"
[04/Jul/2023:09:19:24 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/favicon.ico" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://coffeekraken.localhost/api/doc"
[04/Jul/2023:09:19:25 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/favicon.ico" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://coffeekraken.localhost/api/doc"
[04/Jul/2023:09:19:25 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/api/doc" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[04/Jul/2023:09:19:25 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/favicon.ico" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://coffeekraken.localhost/api/doc"
[04/Jul/2023:09:19:25 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/favicon.ico" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://coffeekraken.localhost/api/doc"
[04/Jul/2023:09:19:26 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/api/doc" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
[04/Jul/2023:09:19:26 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/favicon.ico" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://coffeekraken.localhost/api/doc"
[04/Jul/2023:09:19:26 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/favicon.ico" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "http://coffeekraken.localhost/api/doc"
[04/Jul/2023:09:19:26 +0000] - 502, 502 502 - GET http coffeekraken.localhost "/api/doc" [Client 172.19.0.1] [Length 556] [Gzip -] [Sent-to localhost] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36" "-"
